address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1pkzp80vc4jnyar3j9fx2kr2fw7atyx80f7374wrxgtpgh0zsmlw9s46fag4,1779612.0,p2tr,10,2
bc1pl52em95hek7w3m4gjr6mny9duslxu0jmecgx3pj934km74xgggaqm03236,1779612.0,p2tr,8,2
bc1plsd9c3gcdz9k23a6ug2278uku8eqjrnse5ss5h79d2jctz2k5lyqzdycdn,1779612.0,p2tr,7,2
bc1pltmrqarz56zvnqw28w7q4zuq77ly8r3jqsranzl647lgv797cymqqzaggv,1779612.0,p2tr,27,2
bc1plvhh94ggucy5wk6cnhgpwvp09fnkjepkz2p96vngxkv4ydj2k7nsk3e5c7,1779612.0,p2tr,10,2
bc1pm0k7vx9rzzd7m47nsnzhyjwd5lvrs3gdf864v8n7w9jzejyj8v2qf893j9,1779612.0,p2tr,25,2
bc1pm0t3s3325xrw0d797ddxqp83wjgtzpcdvk53r96zl8c5p0ceg94s8nsz9g,1779612.0,p2tr,9,2
bc1pm34vlmeyp9r5mydj6tcp2m5zv9u6zea9cq35v3s9yux0afcy4xeqy5p0vd,1779612.0,p2tr,27,2
bc1pm80eha7x6e8kcz5zpta7cmgglvyz5lg67p222ymzv38uemcdvtnqmkcm5r,1779612.0,p2tr,10,2
bc1pmgjpct5pu7066jhu0qde5vf4ju39ffx85zh569q6dtz6gqrf063qs9z2wp,1779612.0,p2tr,12,2
bc1pmmgdf9rckaertqnk2ufzyxv0x8tlhglac9q4cryhgz4r220857tqyylres,1779612.0,p2tr,10,2
bc1pmwavvhyynmdy680mn0thzqpw9ugmv03kxee3ufnkfz3w8d59duasrlkyal,1779612.0,p2tr,8,2
bc1pmwmxsgeceendthjux76nh5ycgf5xgt9y985mz49qtfcen3u3nkaq3c4mlv,1779612.0,p2tr,8,2
bc1pmy0dkldfqjgpm2yf87ln0s4aa53rz9svz7n7kpl6vtsfmpt2jd2q67u7uk,1779612.0,p2tr,10,2
bc1pmze96sw78spgfasd7st0trw8fyrxw4939rq5kewnghrps3ranqzqy4p70e,1779612.0,p2tr,9,2
bc1pnppa0nzjqguz78sszfnm89mr78c9uf78gvddlc6q9fxtfuj7f5ysprzc76,1779612.0,p2tr,16,2
bc1pp6xxcmxqk20y0gmdx4dknf8rc7npk45hkqffapm3t33sgkcaujusqs287f,1779612.0,p2tr,10,2
bc1pp8rnnwn9ra7gvldqerlfp3kqulm8jf8gah4n4ruh3y8rjz63t95qaghsdu,1779612.0,p2tr,49,2
bc1ppan3gdewcdfy6k4h3ju6p08634sfl87vx5l9lsky9aqy83gzp5vqlawkjn,1779612.0,p2tr,10,2
bc1ppc3hxmtpm9m06shwvye3msra66pewd9kl03qy6dyjluwguatf0vsjuqulh,1779612.0,p2tr,15,2
bc1ppdwag6xpu5m9uqewt57ca42hklz3d3ufln0j030p4m2088y25h6qdda7ag,1779612.0,p2tr,18,2
bc1ppzunya5jeam088f8vk4tpy2tpgf0jpxngwc0zm80gvasfld62jesw8gwht,1779612.0,p2tr,327,2
bc1pq94xfhlmv829fwf9eheq9qz9dfasewx58ks3ecjl83xurnfpr4fsz3xfdx,1779612.0,p2tr,12,2
bc1pqh9wnvaj0kdx5mwcxfh288zm38y7u206c564wzdkerpyx9af8kxsdud4a2,1779612.0,p2tr,29,2
bc1pqj8wmavk3n250mlrsqc9ms53u22cfruzkpkkjm9mmhaa3ttndewscp6n8f,1779612.0,p2tr,9,2
bc1pqkdvjcqdw5mez6kgnkfewq9sarft42uh6vx3ks37c48alv8jw3cq4qj8kq,1779612.0,p2tr,47,2
bc1pql4zt9h7nqq2a8095c35ld6zxwrkzkmhejrdkszqzudm4akfgqdsggvwnp,1779612.0,p2tr,14,2
bc1pr46njfkdsxm24t9k8rf0j83wav3s7kewzpp3xznn0jc2fux9qk0qttplz7,1779612.0,p2tr,12,2
bc1prm2qvyv85kvqcgry9nnx67s75wr9a3npa7cwqyswkwzk3wdpywtq05f92j,1779612.0,p2tr,10,2
bc1prrzw7ltua5wjf3z63asch2mzdxr609ytdefwu53s02xd9x9my74q9nk6l5,1779612.0,p2tr,9,2
bc1ps258vv9jplp07ge28ycqmzemfah3djre5x6876epd77rs8u2wpxq787j95,1779612.0,p2tr,11,2
bc1ps9c2298f27z6xtty36ueljtc00vp29wzv5zcrmnp7qlqd4vr7jaq7vnups,1779612.0,p2tr,27,2
bc1psdnqn0s0a20jag3mhr9nautm70pheeflucvncjxq5sl2mux6x8kqwl727j,1779612.0,p2tr,11,2
bc1pse4t6yzd90glw9cgr7qrqvuqu5nvxq63pps2xs6mj3njfavde59q8hfuqw,1779612.0,p2tr,11,2
bc1psnhrmqn5nmetm004evzln9d97cwkq0g69dz494d3wf23f8ca98tqgevry3,1779612.0,p2tr,8,2
bc1psqzkq0q4yellnzfpg6dafnk8d8vr2q8u0nq7fctf653wvn63h7psw63j4j,1779612.0,p2tr,657,2
bc1pss5pwjg754c3ulv3fa2c5gzj6rf4xyaesyqze6ter0vcde4sfj4sram5q4,1779612.0,p2tr,12,2
bc1pssycl9kx303f7mxl0n7sjtx2rex9k0f6a958ht4vdca37thnj9ss73sm35,1779612.0,p2tr,11,2
bc1psu6veanf9cmp7ge6slxh298fdtnk806rjynt8jan69jg2lpw7xkq2ru32x,1779612.0,p2tr,11,2
bc1psv73vslwtl55lp590p3dk3c3t4ap3f9nh4xq8thd3jklpfmuqs8sqtp8wa,1779612.0,p2tr,13,2
bc1psvhnwxqn8sju38s3lykju75wjyh50d7f76k8x4qjapp3yu5au37qn4y6pe,1779612.0,p2tr,139,2
bc1pswywlz8clhq9e7ampk382qezz0d672xx8jnzuzqsx3zctyc8awhsey3fh3,1779612.0,p2tr,11,2
bc1ptw632kyhuwe5khte24kh2fg439a466l6zxghns335wpwy9jk9awqjla4qf,1779612.0,p2tr,12,2
bc1pu5rw0kx6dks7cgjfrre7q30f5uq8df0vw6vvjtaal2d3qda6tpuszhau66,1779612.0,p2tr,9,2
bc1pughv2t6jkq87z0rt0p85ff8ax59qf8gy68xt6dmv2f06d4ct69eqtmlpgn,1779612.0,p2tr,11,2
bc1puhfcxzua4rgtrngdmdd6chhtjv9ah2d6h88p7gnxhlghlueka0nq83s0qa,1779612.0,p2tr,10,2
bc1puhqz37cqumjl5fuhjzve79kc3dd0rkcf4vuhhu33y4jmndkctukq2jmwn7,1779612.0,p2tr,13,2
bc1pukarqlx9ld3krhyczllam06eekft7cfruxpavgtj6dq8rmp8nyvqxc7m63,1779612.0,p2tr,10,2
bc1pur8thd9vedgwa2cczetdyekmnp80tmdjg5cdtpq5saspeckn8dmq7ram0x,1779612.0,p2tr,13,2
bc1puy9xgek65k09zh73eyaff655nfet8zhyud59n7eap39aq0geqphspzqgmr,1779612.0,p2tr,10,2
bc1pv5z5m4uvmf2t074mpt24275dkpnr2z5mvz3mhmqzn29um0xs4cuqn68p0n,1779612.0,p2tr,9,2
bc1pvc6nl4yw3fvekeyrfdld6hcca60kr9zrfangdq206fdjftf6wessack0aa,1779612.0,p2tr,9,2
bc1pvd3x8c5jc2mylf7ljtkqy3eadmtmrtm5yqualzsx3j9yjajez98svdj32w,1779612.0,p2tr,9,2
bc1pvdy5aeccqmzksksaz8l02ut5ykah73wtqas4gkc228t5h3qz89qqk604x2,1779612.0,p2tr,20,2
bc1p08fhj9t2y3dq3zk4xj5s4cfynfg9h3klm4mnddgg55rv57wra2dq4vhm5v,1779612.0,p2tr,9,2
bc1p0c33qvck3cy387h8fj8j2kuf8v5jhx0tye6d3g789r0cqr35armsmev57w,1779612.0,p2tr,9,2
bc1p0eet67p4ye05qmx0829vwfp6vcv8prfrddkjxksd76nn2yte3ufqqg6lcq,1779612.0,p2tr,8,2
bc1p0n08y30llrc5srnkkr4gczxxgm3gwe07ckdzffy6fdwruqyqgzwqmlgjmj,1779612.0,p2tr,8,2
bc1p2574l8vzj2y2zcrae9t57yz7nt9anz97yyfg9qngau2h3g73qrpsnpnkeq,1779612.0,p2tr,8,2
bc1p2gea08csk5p9xuedvnlw0drk0d08gjluusujqx5hf69jd57shcws9kanz8,1779612.0,p2tr,9,2
bc1p2le6wawfvq49268zc2hmdnl0ywxtve4qnu4rmrwjpmn02agszjzsl42k6s,1779612.0,p2tr,8,2
bc1p2tluzedz7nmxr3j43ecjup57ge2ahaptvqqun3qm092ym85xggrqglf6u0,1779612.0,p2tr,9,2
bc1p2ygr78us37rqnaue9p5h6484m996h6f295s64f8fe5m0qgrhxlwqjkrz3a,1779612.0,p2tr,11,2
bc1p3026lffmtk0czcjkx2qn7u66f7j2yg5r8e5axdqmuvrrl0szuygqjdw6an,1779612.0,p2tr,10,2
bc1p3220lpwd8y0ckdm3g8xk66z86r9junjpvfhfl9x5s5qtpwk3e9kq628d5s,1779612.0,p2tr,14,2
bc1p32f4hmmrcvqhlyvfhr0p67le0z9qj45ncucwcy50qawe4qqn0s9qeds7rd,1779612.0,p2tr,13,2
bc1p33tpqqla3py4tzr7jy6tswe8gg73f22yfta5qrx87h9vx9uklp3q8ddw9u,1779612.0,p2tr,9,2
bc1p3f0ck8tyry07pzel657f23vlv62gzkqswjl7j8dmd79p8a2t2rvs0953u0,1779612.0,p2tr,9,2
