address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1pwwlja9vg0s26t9juaunzk4d9e7mdfr0ww8e03s2clw29rm628d8sz9gsj6,8898060.0,840654,2024-04-24T12:27:21Z,10
bc1p3zlgvva38e80e6jx5wx8qtzq0rusuemhszppq6zypq7jc5ml97kqdgm3cu,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1p9qm6c7kxyrgjjjx8ahwmq82eue49a5vpq75c35jlej4egg2aysgqzmwhf5,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1pe6pfgfyaet8fta9eavxqz2ds4msnfhar7xg7vgsw25340fveqe5s48awzz,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1pm7734w2uw495sw96jl4up7dndfc4zxxx5gs5zp23vdrnv58lpsgq90vrlu,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1pqhpx8l488r9xj6lq9nnedn4c0wad5sdk06c7k3dhtcvun2z0c94s0hqx2c,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1ps9vkafq3hxvzg4stypacl2cf35l3xp476u6d3zyfx4sy76amxlxqz6a4wk,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1pwrv46senlmpr6n75zu3qz8cygs0hrz6gu75w5syqlp5ejg3r39psd349yt,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1q4y6s62pdu00wwfndafqzmycxdvw2qvcs2sn0dt,8008254.0,840654,2024-04-24T12:27:21Z,9
bc1p0rm0ktlh7l0w23jdc086vksz7thpqqkawklyuf75z58kfwufu8sqd3e4up,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1p5pegts0xzhwrs0du3mpnxnu88qsx326r2d2c3d68p9h7233rzr6s3ew3w2,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1pkrntdfdsne8pzktru90vmjgpr83deak0kpfte7ppmdmahy637n6q6cc758,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1pr8l940ey5e2xy2mzkhjupmny9gjcfmgwtcpg67f2n63d5hrzv8rsvywq9k,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1prc6v9zgzhq70u8tk472reaymyhr43c0c3tyexhllvxycdgm3r4zqmd2haq,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1ptcv6ar7zulxemt57hvvudgx09ywn9r6qflxkk2tq2apweftvgj3s485rrm,7118448.0,840654,2024-04-24T12:27:21Z,8
bc1ptknvxqkhrvmlcerudhwst4xn8vg6jn5d39xyzhjvtpe50gf8wkzqdwr0v9,7118448.0,840654,2024-04-24T12:27:21Z,8
37NfsuxWcifJuznijhwy7sz7iAJR9xgRkS,6228642.0,840654,2024-04-24T12:27:21Z,7
3AXtv2H1RyHpB6zivMcf2Ri8NmhecAFz2o,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1p04jdwdmz7mffaam3qp64d6hyye34vda4qk6xhx7eprp3y4nvsa9qd0y476,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1p43r7hycpsvrn27fwc5paqa2n9fqsud8sv78xkjgywwqgdevsd9asemk79h,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pa3prjynf5gjmzuegphmcnw57x79ec63zqm6ctetls4wfmy8zwc7scpg589,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pctw2mpym8eettuee9hv7kypgc6se4uust95jg3s3qe7wz5hljthqf5uj8k,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1plx5f4ea4x3573zs2hgmrfr09d0eggr9ecwyc6cmryd3mw468gtlsmxv2j9,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pp7aq2cnwck75lylwah44ad3nsru3ng42hw4kc7tp72ha6r06metqysp8gy,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1psgfeme22swv4smvdr6p3hf00du0p9aa3j8nt2m0mza3vuynag26s9ej3rf,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pv5p0lcdvf3mmxs75gcevkmkgf2yqztyw6hhtefwj9wdppn6eje0shwwvzl,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pxu5fdml22n3sapq2lnjhelfg3g4k6yte4k6zjjr0rmg79wcx0anq8tkmmw,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1pz6s8ltchtu2al3atktw60fvnvqe6sstrv5u0hd566ngjj5kgf0eqtwkvzq,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1q4n2gdc4jlax2usms9lua5lpyvmfzktdd3cp0hj,6228642.0,840654,2024-04-24T12:27:21Z,7
bc1p6kxm5v5aetkhw2x0ls6uyhw9ysm5cmh632mcea70smhqnp420n5sytffhy,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1p6qnvavtevvzcxcvnd4sepqsckaz6l87m6ealmm9rwn9nyjvf877qajh482,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1p6rna9fu0nktyfdtdqk8ymq28jr5x2fw00dtf3gkgxt2z8fhmq3fq870z23,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1p7v75kzj8pmwjqj38s93lk6mjsqheq4hv44t58qd68r99dv4sx7pqen72s2,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1p9vncgjxcff3xlgjj9vlrvfur5kw38rl3c5c7rt0qyngtr7fmvecqzafsxx,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1par47079zs0gs2xuzqjwe02tgzgtxecpe8x74h28qvpmwurjszqjqsgrzks,5338836.0,840654,2024-04-24T12:27:21Z,6
