rank,address,total_dog,lth_dog,sth_dog,lth_pct,sth_pct,utxo_count,lth_utxos,sth_utxos,weighted_avg_age_days,oldest_age_days,newest_age_days
62389,bc1qaapz7md3e8r5kzuskv0jka377rfjsv0p5mcyt0,3000.0,3000.0,0.0,100.0,0.0,1,1,0,671.86,671.86,671.86
62390,bc1pj3yaqs390tthmx989jz744uzy784gja2kl60r9l8nzudrszvxhuslrnegs,3000.0,3000.0,0.0,100.0,0.0,1,1,0,622.07,622.07,622.07
62391,bc1pq0skg7d0ql6dcewt24qll0ndhag54nqerkgqqtf8vfn8cmgldc7q0tdarm,3000.0,3000.0,0.0,100.0,0.0,1,1,0,609.1,609.1,609.1
62392,bc1qntg6480xsrsmcgp2arpgpwmx8sly3eczp9006s,3000.0,3000.0,0.0,100.0,0.0,2,2,0,598.37,598.38,598.36
62393,bc1p6pjugddz2cjhqe2g49t9v7rge48sv5yunz7apezf4sddfydmy6qslfpqg7,3000.0,3000.0,0.0,100.0,0.0,1,1,0,832.16,832.16,832.16
62394,bc1p45gz98gthmmul7m7frrz97t5z74ef2ngw0vf3tv6slr98t6m7ueq0m6hzk,3000.0,3000.0,0.0,100.0,0.0,1,1,0,827.64,827.64,827.64
62395,bc1qga2ke264nps6qtu795gxmcaknf3pzeuk9gppaz,3000.0,3000.0,0.0,100.0,0.0,1,1,0,776.95,776.95,776.95
62396,bc1p8xuag7jvu4desgpy5du0w3u930e3kz9g7vfdfkhg5mvtf4vteukssavcpz,3000.0,3000.0,0.0,100.0,0.0,1,1,0,808.49,808.49,808.49
62397,bc1qj9awka3e5w3y2c2jkzxx2q8ruyfsmgknr9d67d,3000.0,3000.0,0.0,100.0,0.0,2,2,0,595.57,595.58,595.57
62398,bc1p3zky5ufpre2kam4a4xze49h40jv9taqlr0m6l5t0k2ly0t9wyjnskkcv9v,3000.0,3000.0,0.0,100.0,0.0,1,1,0,647.9,647.9,647.9
62399,bc1pacl0pkt96850me3zl0j4efy4slkx80lumeg6myxj8yr9zsh35rnqnh4s3a,3000.0,3000.0,0.0,100.0,0.0,1,1,0,629.92,629.92,629.92
62400,bc1p0j5lfp5uwyu6zuyrczaj3tr9e064xux90sw3akl0v506nnguw49surq38m,3000.0,3000.0,0.0,100.0,0.0,1,1,0,832.18,832.18,832.18
