lapide,address,dog,utxo_count,posicao_residencial,airdrop,assinou,direito,x_m,z_m
L14922,bc1pakpps56t7g3ut9k9d7rwu5p9cvkgjsaxte548qcy5er2wx84mj3q5fxr54,0.2,1,81856,1,1,licença paga + mint do deed = lote no anel de expansão,-6660.36,-2134.9
L14923,bc1ql0993xgv6t93qxwn3g7520gzkm8xg57ee3w763,0.2,1,81866,1,9,licença paga + mint do deed = lote no anel de expansão,-6659.9,-2136.33
L14924,bc1pmzfw27yy7uh7xuz892g0pujsru8k2g4uhlex2mxp7wpl8srqmgyqu2a7eh,0.2,1,81867,0,1,licença paga + mint do deed = lote no anel de expansão,-6659.43,-2137.76
L14925,bc1phcr4vp8yx5fshqna3khlkndzqrf0zjlrgtl4mfn40dn5d9kh34eq0p8vzw,0.2,1,81868,0,1,licença paga + mint do deed = lote no anel de expansão,-6658.97,-2139.18
L14926,bc1p4m9nu7vm5z7kjrahrg4p0d4j82p8lg9pz8m67n4duuak8kk5c9sswdgc3e,0.2,1,81873,0,6,licença paga + mint do deed = lote no anel de expansão,-6658.51,-2140.61
L14927,bc1p29x3hvlquau5ytm0snpegv2xjnfr0p7e97f8wshv22rnm4urpn2q68dn6g,0.2,1,81877,0,0,licença paga + mint do deed = lote no anel de expansão,-6658.04,-2142.04
L14928,bc1p3mvk4v0h2sh2qygr4n86sy9cawll4rxvuwrfzcm0klyyjr66pwvqec6wrv,0.2,1,81880,0,1,licença paga + mint do deed = lote no anel de expansão,-6657.58,-2143.46
L14929,bc1qpg67zkn6kx6dcpcx7rfsnn3yghatm72frds2sd,0.2,1,81889,0,0,licença paga + mint do deed = lote no anel de expansão,-6657.11,-2144.89
L14930,bc1pgamky20dtdxrgc0hy4sg6huxjdqstdrklvwqa85n2u8wq63gg08sl3j724,0.2,1,81905,0,0,licença paga + mint do deed = lote no anel de expansão,-6656.65,-2146.32
L14931,bc1p8ah03wc9y2fvg42zed92zxr69hckxfc7emd2c297f8s4vqdz4juqg58z6u,0.2,1,81926,0,1,licença paga + mint do deed = lote no anel de expansão,-6656.19,-2147.74
L14932,bc1qlnkazhe3uurywj93kcfu5k9jzmn0ymc7pzuj8s,0.2,1,81931,0,0,licença paga + mint do deed = lote no anel de expansão,-6655.72,-2149.17
L14933,bc1p90pzlfgtq5x0vaaaw65qdy6d498llzhxx2ql3ewv0ugs6ferw7mqlwsvps,0.2,1,81956,0,1,licença paga + mint do deed = lote no anel de expansão,-6655.26,-2150.6
L14934,bc1qhmf8rvexmqp0g2ftg54y4fl2x059ecrmzs58nr,0.2,1,81967,0,0,licença paga + mint do deed = lote no anel de expansão,-6654.8,-2152.02
L14935,37ViHhAxnhXppGKii7zUGDrAXbrJZAXMm8,0.2,1,82035,0,0,licença paga + mint do deed = lote no anel de expansão,-6654.33,-2153.45
L14936,bc1pwsdetug3rslr5dyjpehyse5fcdx29sap4myt4rcnx7xa2jw6ws8s7hgx8l,0.2,1,85699,0,0,licença paga + mint do deed = lote no anel de expansão,-6653.87,-2154.88
L14937,bc1pudrhkgtewhxzq0u98d9z5vc2jsg0c2hv8w39mw93yrturffwcqtshw5r0e,0.2,1,85701,0,1,licença paga + mint do deed = lote no anel de expansão,-6653.41,-2156.3
L14938,bc1pewgf8q5mwg0rt44fprm2488kfd4lc0a2jqjxz22stx4rfhq4ckds2wrv4s,0.2,1,85760,0,2,licença paga + mint do deed = lote no anel de expansão,-6652.94,-2157.73
L14939,bc1pk3ftqc3xqteqkzmuuc6rpu0dc0r64rg4xzshrglu2r4u5afdly5sl62vuu,0.2,1,85761,1,3,licença paga + mint do deed = lote no anel de expansão,-6652.48,-2159.16
L14940,bc1pkeqzmu9jnk5rpuwlvdaw0qv40p5nsgyq2tm9swurwzjwxj38rqsss7vyf8,0.1992,1,81746,0,0,licença paga + mint do deed = lote no anel de expansão,-6652.02,-2160.58
L14941,bc1pmannnkdqs4pnr64cuw55qv095t84t87sxyxym5x70nqarx3prd2qntgsg2,0.198,1,81752,0,0,licença paga + mint do deed = lote no anel de expansão,-6651.55,-2162.01
L14942,bc1qfvj5qmmm96n08p2xz52wrfwpungfxmqc473tvx,0.19701,1,81971,0,0,licença paga + mint do deed = lote no anel de expansão,-6651.09,-2163.44
L14943,bc1qjlfhxqfd5ajg0el73eg24r7064nrhmez8n7uf8,0.195,2,81893,0,0,licença paga + mint do deed = lote no anel de expansão,-6650.63,-2164.86
L14944,bc1pvcmf3tvnt3h5fy6f56xh4cfz6gwxauyw3kkjc4w80p657alz742qn4hjwd,0.19495,1,81875,0,1,licença paga + mint do deed = lote no anel de expansão,-6650.16,-2166.29
L14945,bc1p0sjtjq7w40qzpuks4mepe4td76uup7y3z7nv0vwq7y6dmzffvamqy6j5aj,0.1924,1,85710,0,1,licença paga + mint do deed = lote no anel de expansão,-6649.7,-2167.72
L14946,bc1p80j5hk6luz4t3z64hcucnql3e9ansyq4uec6qgptreesg7h02heq9aljhz,0.192,1,81782,0,0,licença paga + mint do deed = lote no anel de expansão,-6649.23,-2169.14
